entry_date,exit_date,entry_time,exit_time,entry_price,exit_price,lots,gross_pnl,net_pnl,pnl_pct,exit_reason,regime,signal,bars_held
2023-05-25,2023-05-26,2023-05-25 15:25:00,2023-05-26 09:20:00,18335.9,18336.6,4,181.9999999992433,141.81799999924405,0.0038176473475372875,REGIME_CHANGE,0,0.3303821080793806,3
2023-06-01,2023-06-01,2023-06-01 14:55:00,2023-06-01 15:05:00,18523.7,18493.7,3,-5850.0,-5895.85,-0.16195468507911487,STOP_LOSS,2,0.3287381755775516,2
2023-06-01,2023-06-02,2023-06-01 15:05:00,2023-06-02 09:25:00,18493.7,18551.85,3,11339.249999999574,11287.910749999575,0.3144314009635596,TRAILING_STOP,2,0.36658975890503215,7
2023-06-08,2023-06-09,2023-06-08 15:00:00,2023-06-09 09:45:00,18646.35,18654.75,3,1638.0000000002838,1596.3620000002834,0.04504903104361688,TIME_EXIT,2,0.3255997417659345,12
2023-06-15,2023-06-16,2023-06-15 15:00:00,2023-06-16 09:55:00,18696.05,18757.3,3,11943.75,11891.80625,0.32760930784844927,TRAILING_STOP,2,0.32756630867794717,14
2023-07-13,2023-07-14,2023-07-13 14:40:00,2023-07-14 09:20:00,19415.95,19464.0,3,9369.749999999858,9320.380249999858,0.247476945500989,TRAILING_STOP,2,0.34217774907903925,11
2023-07-21,2023-07-21,2023-07-21 09:15:00,2023-07-21 09:50:00,19826.15,19865.2,3,7614.749999999858,7567.135249999858,0.196962092993341,TRAILING_STOP,2,0.3262527406256024,7
2023-07-27,2023-07-27,2023-07-27 14:25:00,2023-07-27 14:35:00,19664.2,19620.8,3,-8463.000000000284,-8511.463000000284,-0.220705647827023,STOP_LOSS,2,0.3246674987015026,2
2023-07-27,2023-07-28,2023-07-27 14:35:00,2023-07-28 09:15:00,19620.8,19629.2,2,1092.0000000001892,1050.908000000189,0.04281171002202487,TIME_EXIT,2,0.3718005394569562,12
2023-08-03,2023-08-03,2023-08-03 15:00:00,2023-08-03 15:25:00,19359.25,19394.45,5,11440.000000000236,11388.560000000236,0.18182522566732043,TRAILING_STOP,1,0.32779905833930045,5
